t_s,enc_as5600_deg,acc_as5600_deg,clar_counts,clar_deg,cmd_sps,cmd_dir,cmd_vel
0.001000,264.6387,0.000000,111,78.0469,0.00,1,0.00
0.002000,263.5840,-1.054688,111,78.0469,0.00,1,0.00
0.003001,263.3203,-1.318359,110,77.3438,0.00,1,0.00
0.004002,263.9355,-0.703125,109,76.6406,0.00,1,0.00
0.005003,264.1992,-0.439453,111,78.0469,0.00,1,0.00
0.006004,263.6719,-0.966797,111,78.0469,0.00,1,0.00
0.007005,263.4082,-1.230469,110,77.3438,0.00,1,0.00
0.008006,263.8477,-0.791016,110,77.3438,0.00,1,0.00
0.009006,264.0234,-0.615234,111,78.0469,0.00,1,0.00
0.010006,263.6719,-0.966797,111,78.0469,0.00,1,0.00
0.011007,263.4961,-1.142578,110,77.3438,0.00,1,0.00
0.012007,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.013007,263.9355,-0.703125,110,77.3438,0.00,1,0.00
0.014007,263.8477,-0.791016,111,78.0469,0.00,1,0.00
0.015007,263.5840,-1.054688,111,78.0469,0.00,1,0.00
0.016007,263.5840,-1.054688,110,77.3438,0.00,1,0.00
0.017007,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.018008,263.8477,-0.791016,110,77.3438,0.00,1,0.00
0.019008,263.6719,-0.966797,111,78.0469,0.00,1,0.00
0.020008,263.5840,-1.054688,111,78.0469,0.00,1,0.00
0.021008,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.022008,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.023008,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.024008,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.025008,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.026008,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.027008,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.028009,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.029009,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.030009,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.031009,263.8477,-0.791016,110,77.3438,0.00,1,0.00
0.032010,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.033011,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.034012,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.035013,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.036014,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.037014,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.038015,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.043561,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.044562,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.045563,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.046564,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.047565,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.048565,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.049566,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.050567,263.8477,-0.791016,110,77.3438,0.00,1,0.00
0.051568,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.052569,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.053569,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.054570,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.061771,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.062772,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.063772,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.064772,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.065773,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.066774,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.067775,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.068775,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.069775,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.070775,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.071776,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.072777,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.073778,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.074779,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.075779,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.076779,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.077779,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.078780,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.079781,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.080782,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.081782,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.082782,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.083782,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.084783,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.085784,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.086785,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.088811,263.8477,-0.791016,110,77.3438,0.00,1,0.00
0.089812,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.090813,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.091814,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.092814,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.093814,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.094814,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.095815,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.096816,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.097817,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.098817,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.099817,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.100817,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.101818,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.102819,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.103820,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.104820,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.105820,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.106820,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.107821,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.108822,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.109823,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.110824,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.111824,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.119078,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.120079,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.121080,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.122080,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.123080,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.124080,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.125080,263.8477,-0.791016,110,77.3438,0.00,1,0.00
0.126080,263.8477,-0.791016,110,77.3438,0.00,1,0.00
0.127081,263.8477,-0.791016,110,77.3438,0.00,1,0.00
0.128082,263.8477,-0.791016,110,77.3438,0.00,1,0.00
0.129082,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.130082,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.131082,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.132082,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.133082,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.134082,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.135082,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.136083,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.137084,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.138084,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.139084,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.140084,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.141084,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.142084,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.143084,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.144084,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.145085,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.146086,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.147086,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.148086,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.149086,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.150086,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.151086,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.152086,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.153086,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.154087,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.155088,263.6719,-0.966797,110,77.3438,0.00,1,0.00
0.156088,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.157088,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.158088,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.159088,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.160088,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.161088,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.162088,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.163089,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.164089,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.165089,263.8477,-0.791016,110,77.3438,0.00,1,0.00
0.166089,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.167089,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.168089,263.8477,-0.791016,110,77.3438,0.00,1,0.00
0.175184,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.176184,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.177184,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.178184,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.179184,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.180184,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.181185,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.182185,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.183185,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.184185,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.185185,263.8477,-0.791016,110,77.3438,0.00,1,0.00
0.186185,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.187185,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.188185,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.189186,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.190187,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.191187,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.192187,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.193187,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.194187,263.7598,-0.878906,110,77.3438,0.00,1,0.00
0.195187,263.7598,-0.878906,110,77.3438,0.00,1,0.00
